,slice,cat_feature,feature_value,slice_size,slice_precision,slice_recall,slice_fbeta,slice_accuracy
0,1,workclass, State-gov,1298,0.9542857142857143,0.9461756373937678,0.9502133712660029,0.9730354391371341
1,2,workclass, Self-emp-not-inc,2541,0.9526542324246772,0.9171270718232044,0.9345531315974666,0.9634002361275088
2,3,workclass, Private,22696,0.9482079966853117,0.922224461011485,0.9350357507660878,0.9719774409587593
3,4,workclass, Federal-gov,960,0.9480874316939891,0.9353099730458221,0.9416553595658074,0.9552083333333333
4,5,workclass, Local-gov,2093,0.940099833610649,0.9157212317666127,0.9277504105090313,0.957955088389871
5,6,workclass, ?,1836,0.9265536723163842,0.8586387434554974,0.8913043478260869,0.9782135076252724
6,7,workclass, Self-emp-inc,1116,0.9640522875816994,0.9485530546623794,0.9562398703403565,0.9516129032258065
7,8,workclass, Without-pay,14,0.0,1.0,0.0,0.9285714285714286
8,9,workclass, Never-worked,7,1.0,1.0,1.0,1.0
9,10,education, Bachelors,5355,0.9533514492753623,0.9477712742008104,0.9505531722736509,0.9591036414565827
10,11,education, HS-grad,10501,0.947538860103627,0.8734328358208955,0.9089779434607019,0.9720978954385296
11,12,education, 11th,1175,1.0,0.8166666666666667,0.8990825688073394,0.9906382978723405
12,13,education, Masters,1723,0.9564315352697096,0.9614181438998958,0.9589183567342694,0.9541497388276262
13,14,education, 9th,514,1.0,0.8518518518518519,0.92,0.9922178988326849
14,15,education, Some-college,7291,0.943609022556391,0.9048305695746215,0.9238130290761869,0.9716088328075709
15,16,education, Assoc-acdm,1067,0.9386973180076629,0.9245283018867925,0.9315589353612168,0.9662605435801312
16,17,education, Assoc-voc,1382,0.9185393258426966,0.9058171745152355,0.9121338912133891,0.9544138929088278
17,18,education, 7th-8th,646,0.9444444444444444,0.85,0.8947368421052632,0.9876160990712074
18,19,education, Doctorate,413,0.9493670886075949,0.9803921568627451,0.9646302250803858,0.9467312348668281
19,20,education, Prof-school,576,0.95,0.9881796690307328,0.9687137891077635,0.953125
20,21,education, 5th-6th,333,1.0,0.9375,0.967741935483871,0.996996996996997
21,22,education, 10th,933,0.9310344827586207,0.8709677419354839,0.9,0.9871382636655949
22,23,education, 1st-4th,168,1.0,0.5,0.6666666666666666,0.9821428571428571
23,24,education, Preschool,51,1.0,1.0,1.0,1.0
24,25,education, 12th,433,1.0,0.8484848484848485,0.9180327868852458,0.9884526558891455
25,26,marital-status, Never-married,10683,0.9678899082568807,0.8594704684317719,0.9104638619201726,0.9922306468220538
26,27,marital-status, Married-civ-spouse,14976,0.9446622436670687,0.9361924686192469,0.9404082858000601,0.9469818376068376
27,28,marital-status, Divorced,4443,0.982367758186398,0.8423326133909287,0.9069767441860465,0.9819941480981319
28,29,marital-status, Married-spouse-absent,418,1.0,0.8529411764705882,0.9206349206349206,0.9880382775119617
29,30,marital-status, Separated,1025,0.9818181818181818,0.8181818181818182,0.8925619834710744,0.9873170731707317
30,31,marital-status, Married-AF-spouse,23,1.0,0.9,0.9473684210526316,0.9565217391304348
31,32,marital-status, Widowed,993,0.9863013698630136,0.8470588235294118,0.9113924050632911,0.9859013091641491
32,33,occupation, Adm-clerical,3770,0.936734693877551,0.9053254437869822,0.9207622868605818,0.9790450928381963
33,34,occupation, Exec-managerial,4066,0.9601226993865031,0.9542682926829268,0.9571865443425076,0.9586817511067388
34,35,occupation, Handlers-cleaners,1370,0.9743589743589743,0.8837209302325582,0.9268292682926831,0.9912408759124087
35,36,occupation, Prof-specialty,4140,0.9489795918367347,0.9505110274341043,0.9497446922870195,0.9548309178743961
36,37,occupation, Other-service,3295,0.9655172413793104,0.8175182481751825,0.8853754940711462,0.9911987860394538
37,38,occupation, Sales,3650,0.9490114464099896,0.9277721261444557,0.9382716049382716,0.9671232876712329
38,39,occupation, Craft-repair,4099,0.9354473386183465,0.8891280947255114,0.9116997792494481,0.9609660892900708
39,40,occupation, Transport-moving,1597,0.9464882943143813,0.884375,0.91437802907916,0.9668127739511584
